target,model,r2,spearman,perm_p,n
WMC,Ridge,-0.04864265800691059,0.03608379793083551,0.9104477611940298,171
WMC,Lasso,-0.10387683738084519,-0.12728170760337756,,171
WMC,ElasticNet,-0.0834417603464992,-0.09212329399666183,,171
WMC,XGBoost,-0.06941402064803337,0.038823382589169314,0.3283582089552239,171
WMC,PCA(3)+Ridge,-0.0019731091786980848,0.05668168258274078,,171
WMC,PCA(3)+Lasso,-0.024559797539745132,-0.07604225888548868,,171
WMC,PCA(3)+XGBoost,-0.038192598109068054,-0.022137646430895726,,171
WMC,PCA(5)+Ridge,-0.01932149668066585,0.067202023668861,,171
WMC,PCA(5)+Lasso,-0.007507405443936577,0.11412776088486774,,171
WMC,PCA(5)+XGBoost,-0.07586524540331796,0.04803604803647172,,171
WMC,PCA(7)+Ridge,-0.017507947257825895,0.04291895965394955,,171
WMC,PCA(7)+Lasso,-0.015562171812957715,0.0856159205510915,,171
WMC,PCA(7)+XGBoost,-0.10657857780547109,0.013287525589894966,,171
WMC,PCA(10)+Ridge,-0.03831106667424855,0.046823737787203244,,171
WMC,PCA(10)+Lasso,-0.036035498114607156,0.08148194370134995,,171
WMC,PCA(10)+XGBoost,-0.0984679249624727,0.03054222896360577,,171
gF,Ridge,-0.018965934586698596,0.10710945004910277,0.681592039800995,171
gF,Lasso,-0.049988871201576135,-0.023720361730623092,,171
gF,ElasticNet,-0.023643450224367202,0.06631190716477424,,171
gF,XGBoost,-0.09830360183720144,-0.0022367968685331014,0.48756218905472637,171
gF,PCA(3)+Ridge,-0.008627404169857522,0.03260395435517402,,171
gF,PCA(3)+Lasso,-0.026141696396957625,-0.052849807443644765,,171
gF,PCA(3)+XGBoost,-0.06361575675458586,-0.028513399593843348,,171
gF,PCA(5)+Ridge,-0.006653221794957975,0.11051984527462375,,171
gF,PCA(5)+Lasso,-0.0030102426029883222,0.15231218676625588,,171
gF,PCA(5)+XGBoost,-0.0620949055556812,0.0863734790790105,,171
gF,PCA(7)+Ridge,-0.014857613707332185,0.08298348382493002,,171
gF,PCA(7)+Lasso,-0.0013897381948442256,0.12511542484113022,,171
gF,PCA(7)+XGBoost,-0.07504637903488987,0.06547430833739436,,171
gF,PCA(10)+Ridge,-0.00867346333335517,0.09651826487653135,,171
gF,PCA(10)+Lasso,-0.018517209873955665,0.07026551182296123,,171
gF,PCA(10)+XGBoost,-0.07955053917870436,0.05943711678933104,,171
AC,Ridge,0.05375455895728365,0.221187030503756,0.009950248756218905,171
AC,Lasso,0.023220226538908317,0.17858497132022944,,171
AC,ElasticNet,0.03073651015198786,0.1741186070511436,,171
AC,XGBoost,-0.009658817783812834,0.13577411380708954,0.07960199004975124,171
AC,PCA(3)+Ridge,0.02818459357239933,0.13378692970456238,,171
AC,PCA(3)+Lasso,0.03245429849750947,0.13809009527923777,,171
AC,PCA(3)+XGBoost,-0.019065558688772466,0.047059049411584,,171
AC,PCA(5)+Ridge,0.06591895956040517,0.2493388052895577,,171
AC,PCA(5)+Lasso,0.0730074551865797,0.2686490508075936,,171
AC,PCA(5)+XGBoost,0.005466496911291863,0.1678176588400407,,171
AC,PCA(7)+Ridge,0.05085766001927605,0.22034463724290204,,171
AC,PCA(7)+Lasso,0.060751043848024655,0.23323973408212736,,171
AC,PCA(7)+XGBoost,0.013193651097353487,0.17192872772744577,,171
AC,PCA(10)+Ridge,0.04392029284725285,0.20049439604483163,,171
AC,PCA(10)+Lasso,0.061596418908560824,0.22378620971032234,,171
AC,PCA(10)+XGBoost,0.0008922751054212252,0.15826673386612908,,171
SuS_AC,Ridge,-0.012884247336367727,0.13379652962776298,0.5870646766169154,171
SuS_AC,Lasso,-0.030807437264652515,0.09176500503013284,,171
SuS_AC,ElasticNet,-0.04002958202472051,0.1042527659778722,,171
SuS_AC,XGBoost,-0.24562567768980514,-0.15968272253821972,0.9900497512437811,171
SuS_AC,PCA(3)+Ridge,-0.033933936181867574,-0.27425780593755256,,171
SuS_AC,PCA(3)+Lasso,-0.01807915685945627,-0.25425692721549503,,171
SuS_AC,PCA(3)+XGBoost,-0.07290209248604596,-0.005607578691250432,,171
SuS_AC,PCA(5)+Ridge,-0.03349926819506899,-0.08206494348045217,,171
SuS_AC,PCA(5)+Lasso,-0.04435602401338801,-0.06438701650791563,,171
SuS_AC,PCA(5)+XGBoost,-0.0638662058302002,0.0498812009503924,,171
SuS_AC,PCA(7)+Ridge,-0.03842151989512099,-0.08492812057503542,,171
SuS_AC,PCA(7)+Lasso,-0.041188254987537976,-0.12874765062692772,,171
SuS_AC,PCA(7)+XGBoost,-0.07134252572163335,0.014279885760913914,,171
SuS_AC,PCA(10)+Ridge,-0.024731860060060118,0.035870113039095694,,171
SuS_AC,PCA(10)+Lasso,-0.025811175833473143,-0.0020938086293083133,,171
SuS_AC,PCA(10)+XGBoost,-0.07347417270973922,-0.0014927880576955386,,171
