target,feature,pearson_r,spearman_rho,p_value,fdr_q,fdr_significant,n
GrandMean_a,posterior_alpha,0.07137823254904627,0.09493171004218759,0.33562181107786293,0.7604028154173289,False,188
GrandMean_a,posterior_beta,0.16111886744108428,0.17199437498796014,0.028894427387762302,0.4640548413755117,False,188
GrandMean_a,frontal_theta,0.11500327961437182,0.11429947409990175,0.12006242728403778,0.5942035134095591,False,188
GrandMean_a,frontal_alpha,0.06545254063410748,0.08443104544316232,0.377377840497647,0.7707280577960334,False,188
GrandMean_a,frontal_theta_beta_ratio,-0.006484857864356028,0.002413746604765849,0.9303803196847089,0.9717506166679442,False,188
GrandMean_a,prefrontal_theta,0.12099122080307793,0.09900791739708346,0.10183201140622204,0.5326597519710077,False,188
GrandMean_a,central_alpha,0.0769083532187599,0.0945734044807459,0.29942652555000193,0.7336950059389664,False,188
GrandMean_a,occipital_alpha,0.03547200645703894,0.053568607809520136,0.6326237689175424,0.8759097421717958,False,188
GrandMean_a,global_delta,0.12273096048554841,0.11785363410452505,0.09696695491041438,0.5275002347126542,False,188
GrandMean_a,global_theta,0.11181717367560365,0.11774383078730905,0.1307455128308834,0.5980085320028875,False,188
GrandMean_a,global_alpha,0.06655920200968055,0.08173219548843212,0.3693475746492251,0.7707280577960334,False,188
GrandMean_a,global_beta,0.20715959782847784,0.18842634509063586,0.004778869222776777,0.19662146512446915,False,188
GrandMean_a,IAF,0.05780721370420289,0.03197425149611592,0.4357184796342446,0.8007799085169901,False,188
GrandMean_a,temporal_alpha_asymmetry,-0.006086711168296832,-0.020278938953208373,0.9346449110459409,0.9717506166679442,False,188
GrandMean_a,frontal_aperiodic_offset,0.04673693385146845,0.0714646221417426,0.5286981020517908,0.8571285415472,False,188
GrandMean_a,frontal_aperiodic_exponent,-0.06896670261343671,-0.07035503072566508,0.3522454218477333,0.7604028154173289,False,188
GrandMean_a,frontal_delta_peak_cf,-0.027784109713061916,0.05767630427824604,0.7794982692025232,0.9205923074955985,False,188
GrandMean_a,frontal_delta_peak_pw,-0.01342646016444771,0.005522570137267539,0.8564520577493517,0.9318198388312947,False,188
GrandMean_a,frontal_delta_peak_bw,0.04618793162437606,0.042869116806328586,0.6415147237720812,0.8759097421717958,False,188
GrandMean_a,frontal_theta_peak_pw,0.0920063054769118,0.006577330520997511,0.21417546065474685,0.6773921546289668,False,188
GrandMean_a,frontal_alpha_peak_cf,-0.15088987530629094,-0.12894317297448413,0.0681091038555436,0.5012021349391341,False,188
GrandMean_a,frontal_alpha_peak_pw,-0.02854083484758486,-0.024816406063292634,0.7005436084956104,0.898810667503802,False,188
GrandMean_a,frontal_alpha_peak_bw,0.058183994817306364,0.13478379133956433,0.48391823116682303,0.8226609929835992,False,188
GrandMean_a,frontal_beta_peak_cf,0.025774281392588017,-0.012543272040642,0.7826678691740508,0.9205923074955985,False,188
GrandMean_a,frontal_beta_peak_pw,-0.10393003631088371,-0.08595924495296771,0.16032682384657276,0.6056791123092748,False,188
GrandMean_a,frontal_beta_peak_bw,-0.1680708975747102,-0.14123544485905676,0.07008610162998007,0.5012021349391341,False,188
GrandMean_a,posterior_aperiodic_offset,0.008431568334805947,0.07005066363583827,0.9095596785938501,0.9664071585059658,False,188
GrandMean_a,posterior_aperiodic_exponent,-0.13633129499161983,-0.08497428290728361,0.06499240949005161,0.5012021349391341,False,188
GrandMean_a,posterior_delta_peak_pw,-0.09512277542639158,-0.08851865352714987,0.1989917487758472,0.6443542341313147,False,188
GrandMean_a,posterior_theta_peak_pw,0.038305064056110304,-0.04070291110388638,0.6056841748798583,0.8759097421717958,False,188
GrandMean_a,posterior_alpha_peak_cf,-0.133098139944154,-0.09493670886075949,0.09655487667343106,0.5275002347126542,False,188
GrandMean_a,posterior_alpha_peak_pw,-0.029979451086415115,-0.005265388376757444,0.6862270060928651,0.8973737771983622,False,188
GrandMean_a,posterior_alpha_peak_bw,0.11328544419891401,0.13176712830022513,0.15775237146392282,0.6056791123092748,False,188
GrandMean_a,posterior_beta_peak_cf,0.0024258304905870297,-0.08835861703104435,0.9778918492493676,0.9924872499844327,False,188
GrandMean_a,posterior_beta_peak_pw,-0.04865754951683134,-0.011048469776055959,0.5118795593399685,0.8522336328566213,False,188
GrandMean_a,posterior_beta_peak_bw,0.11465286325131639,0.12577916976974324,0.1888131990076166,0.6421421227165682,False,188
GrandMean_a,central_aperiodic_offset,0.030633647743078637,0.042432239795033806,0.6797530550102093,0.8973737771983622,False,188
GrandMean_a,central_aperiodic_exponent,-0.1438643744316301,-0.13799002138275124,0.051376728040499656,0.4990882152505681,False,188
GrandMean_a,central_delta_peak_pw,0.0004993511350112859,0.08008929460918321,0.9946323771536008,0.9946323771536008,False,188
GrandMean_a,central_theta_peak_pw,-0.06603814489379195,-0.11539817373226913,0.3731153098102036,0.7707280577960334,False,188
GrandMean_a,central_alpha_peak_cf,0.001119004228863796,0.01626438078050981,0.9889746041146859,0.9946323771536008,False,188
GrandMean_a,central_alpha_peak_pw,-0.05884454335360155,-0.038570220419462314,0.42751308957680556,0.7964627422252816,False,188
GrandMean_a,central_alpha_peak_bw,0.13454256368848558,0.07402597402597402,0.09510147132173775,0.5275002347126542,False,188
GrandMean_a,central_beta_peak_cf,-0.01743234901024244,-0.05788338957630296,0.845764845058165,0.9278378449331915,False,188
