"Subject","Detailed_Condition","Score","Trials","Lexical.ACC","Lexical.RT_mean","Lexical.RT_sd","Penalty","Reward","TestDuration","Load_Condition","Speed_Condition","Lexical.Correct_Trials","Lexical.Correct_RT_mean","Lexical.Correct_RT_sd","Lexical.Incorrect_Trials","Lexical.Incorrect_RT_mean","Lexical.Incorrect_RT_sd"
19161,"Load_Accuracy_Max",660,38,0.973684210526316,994.868421052632,386.460946668796,80,20,60,"Load","Accuracy_Max",37,997.45945945946,391.456936371082,1,899,NA
19161,"Load_Accuracy_Mid",860,46,0.978260869565217,721.282608695652,233.555481207212,40,20,60,"Load","Accuracy_Mid",45,721.666666666667,236.179919860801,1,704,NA
19161,"Load_Neutral",870,46.5,0.967361111111111,725.093055555556,256.537109048165,20,20,60,"Load","Neutral",90,717.622222222222,260.341287577438,3,895,289.958617737083
19161,"Load_Speed_Max",850,49,0.897959183673469,653.612244897959,272.321869632742,5,20,60,"Load","Speed_Max",44,649.568181818182,264.571737994546,5,689.2,368.329607824296
19161,"Load_Speed_Mid",840,45,0.955555555555556,762.4,234.22526065152,10,20,60,"Load","Speed_Mid",43,753.255813953488,228.258634950967,2,959,380.423448278363
19161,"NoLoad_Accuracy_Max",700,50,0.94,670.38,274.377059938341,80,20,60,"NoLoad","Accuracy_Max",47,644.702127659574,242.624859374877,3,1072.66666666667,481.917351143672
19161,"NoLoad_Accuracy_Mid",880,56,0.928571428571429,535.178571428571,156.790782097193,40,20,60,"NoLoad","Accuracy_Mid",52,531.884615384615,144.048147430922,4,578,308.729655200144
19161,"NoLoad_Neutral",850,55,0.891426679907315,563.37040714995,145.867067987695,20,20,60,"NoLoad","Neutral",98,559.204081632653,147.280639553514,12,585.833333333333,230.328947903698
19161,"NoLoad_Speed_Max",1005,54,0.944444444444444,578.462962962963,139.056756834193,5,20,60,"NoLoad","Speed_Max",51,567.117647058824,127.145530327861,3,771.333333333333,221.797956107204
19161,"NoLoad_Speed_Mid",1020,54,0.962962962962963,569.166666666667,160.632094586732,10,20,60,"NoLoad","Speed_Mid",52,564.942307692308,153.111828088011,2,679,383.251875403109
19162,"Load_Accuracy_Max",-160,22,0.727272727272727,2129.95454545455,1431.39580487594,80,20,60,"Load","Accuracy_Max",16,2274.1875,1561.19771196134,6,1745.33333333333,1024.32878836176
19162,"Load_Accuracy_Mid",360,36,0.833333333333333,1067,465.894469963808,40,20,60,"Load","Accuracy_Mid",30,1088.23333333333,492.094515965864,6,960.833333333333,314.105343263477
19162,"Load_Neutral",390,27.5,0.863636363636364,1659.14393939394,1057.28290733157,20,20,60,"Load","Neutral",47,1610.17021276596,1141.67948976685,8,1367.5,903.964126974706
19162,"Load_Speed_Max",455,29,0.827586206896552,1498.65517241379,1198.30160393373,5,20,60,"Load","Speed_Max",24,1568.83333333333,1297.6382783539,5,1161.8,444.829967515679
19162,"Load_Speed_Mid",490,35,0.8,1122.82857142857,733.943157188071,10,20,60,"Load","Speed_Mid",28,1110.28571428571,753.409772775935,7,1173,703.198881303623
19162,"NoLoad_Accuracy_Max",-440,38,0.68421052631579,1049.05263157895,510.813339122345,80,20,60,"NoLoad","Accuracy_Max",26,1082.65384615385,571.134866195906,12,976.25,357.591215318172
19162,"NoLoad_Accuracy_Mid",340,41,0.804878048780488,929.268292682927,535.685589893467,40,20,60,"NoLoad","Accuracy_Mid",33,959.272727272727,585.446318671024,8,805.5,226.207237474211
19162,"NoLoad_Neutral",470,44.5,0.765672396359959,809.101617795753,243.391558721889,20,20,60,"NoLoad","Neutral",68,793.470588235294,191.649903963454,21,854,393.774427813691
19162,"NoLoad_Speed_Max",460,43,0.627906976744186,857.906976744186,307.160560925815,5,20,60,"NoLoad","Speed_Max",27,856.185185185185,316.438478288135,16,860.8125,300.989306288446
19162,"NoLoad_Speed_Mid",630,39,0.871794871794872,988.871794871795,296.378152782376,10,20,60,"NoLoad","Speed_Mid",34,990.411764705882,308.474950375087,5,978.4,221.989414162027
19163,"Load_Accuracy_Max",580,34,0.970588235294118,1198.76470588235,613.268197734842,80,20,60,"Load","Accuracy_Max",33,1166.87878787879,593.46649850559,1,2251,NA
19163,"Load_Accuracy_Mid",820,41,1,914.731707317073,442.079406011536,40,20,60,"Load","Accuracy_Mid",41,914.731707317073,442.079406011536,0,NA,NA
19163,"Load_Neutral",600,38,0.892882311486963,1027.3971106413,522.895544960077,20,20,60,"Load","Neutral",68,1010.98529411765,609.703120627488,8,914.25,399.113213440569
19163,"Load_Speed_Max",730,44,0.863636363636364,812.068181818182,325.109598531145,5,20,60,"Load","Speed_Max",38,803.157894736842,314.413785399912,6,868.5,415.966705398401
19163,"Load_Speed_Mid",490,35,0.8,1168.28571428571,355.964850497793,10,20,60,"Load","Speed_Mid",28,1134.39285714286,331.282842037694,7,1303.85714285714,444.249715277128
19163,"NoLoad_Accuracy_Max",640,37,0.972972972972973,1093.56756756757,447.304491155418,80,20,60,"NoLoad","Accuracy_Max",36,1086.25,451.397916002532,1,1357,NA
19163,"NoLoad_Accuracy_Mid",460,38,0.868421052631579,1037.68421052632,508.428958351017,40,20,60,"NoLoad","Accuracy_Mid",33,945.363636363636,403.423150843334,5,1647,744.798966164696
19163,"NoLoad_Neutral",670,43.5,0.883814102564103,847.543269230769,372.894596342497,20,20,60,"NoLoad","Neutral",77,773.727272727273,236.662631095274,10,1288.8,1002.12738156828
19163,"NoLoad_Speed_Max",800,45,0.911111111111111,794.955555555556,245.49939414437,5,20,60,"NoLoad","Speed_Max",41,789,252.983991588401,4,856,158.621141928391
19163,"NoLoad_Speed_Mid",800,43,0.953488372093023,866.325581395349,412.52017098909,10,20,60,"NoLoad","Speed_Mid",41,822.414634146341,280.493580640427,2,1766.5,1516.74404564514
19164,"Load_Accuracy_Max",740,47,0.957446808510638,720.574468085106,348.330723949228,80,20,60,"Load","Accuracy_Max",45,696.2,335.371883138703,2,1269,65.0538238691624
19164,"Load_Accuracy_Mid",880,47,0.978723404255319,711.978723404255,264.119331508687,40,20,60,"Load","Accuracy_Mid",46,716.978260869565,264.779781800351,1,482,NA
19164,"Load_Neutral",850,48.5,0.938137755102041,669.125,250.186633719276,20,20,60,"Load","Neutral",91,663.956043956044,235.040796084798,6,746.333333333333,436.332747644119
19164,"Load_Speed_Max",915,52,0.903846153846154,592.269230769231,189.935398241821,5,20,60,"Load","Speed_Max",47,598.574468085106,197.486680308236,5,533,81.1942116163462
19164,"Load_Speed_Mid",840,51,0.88235294117647,615.627450980392,180.537637160157,10,20,60,"Load","Speed_Mid",45,628.911111111111,185.473573494033,6,516,98.5677432023276
19164,"NoLoad_Accuracy_Max",980,54,0.981481481481482,579.888888888889,107.541596457154,80,20,60,"NoLoad","Accuracy_Max",53,579.377358490566,108.504382473544,1,607,NA
19164,"NoLoad_Accuracy_Mid",780,54,0.907407407407407,584.62962962963,98.820648727655,40,20,60,"NoLoad","Accuracy_Mid",49,589.061224489796,101.008953432205,5,541.2,66.0393821897207
19164,"NoLoad_Neutral",910,54.5,0.918126684636119,565.504043126685,101.715915660741,20,20,60,"NoLoad","Neutral",100,571.14,107.312629284909,9,492,82.348345460003
19164,"NoLoad_Speed_Max",890,57,0.824561403508772,524.947368421053,102.618471786904,5,20,60,"NoLoad","Speed_Max",47,530.382978723404,103.62212983207,10,499.4,98.8086815798873
19164,"NoLoad_Speed_Mid",940,53,0.924528301886792,595.320754716981,138.361118035505,10,20,60,"NoLoad","Speed_Mid",49,600.795918367347,137.571644909092,4,528.25,150.076369447914
19165,"Load_Accuracy_Max",780,44,0.977272727272727,806.363636363636,396.878113262081,80,20,60,"Load","Accuracy_Max",43,807.511627906977,401.501133965844,1,757,NA
19165,"Load_Accuracy_Mid",340,38,0.81578947368421,1018.18421052632,739.677462772216,40,20,60,"Load","Accuracy_Mid",31,1033.29032258065,812.56036467241,7,951.285714285714,257.393806119284
19165,"Load_Neutral",860,47,0.957136342909257,731.118103055176,363.470808221226,20,20,60,"Load","Neutral",90,722.6,426.593214651285,4,696.5,82.0954728755896
19165,"Load_Speed_Max",785,48,0.854166666666667,701.9375,283.75037023127,5,20,60,"Load","Speed_Max",41,666.951219512195,256.639333620113,7,906.857142857143,366.399339778985
19165,"Load_Speed_Mid",690,45,0.844444444444444,773.155555555556,482.601518079383,10,20,60,"Load","Speed_Mid",38,767.052631578947,521.17859922505,7,806.285714285714,177.239681679653
19165,"NoLoad_Accuracy_Max",780,54,0.944444444444444,572.222222222222,158.980794694708,80,20,60,"NoLoad","Accuracy_Max",51,567.294117647059,158.262351065267,3,656,180.174915013162
19165,"NoLoad_Accuracy_Mid",720,54,0.888888888888889,581.037037037037,171.947991584441,40,20,60,"NoLoad","Accuracy_Mid",48,580.583333333333,173.844860323775,6,584.666666666667,171.160353664821
19165,"NoLoad_Neutral",960,56,0.928571428571429,539.116071428571,118.693030542764,20,20,60,"NoLoad","Neutral",104,539.451923076923,115.310124666635,8,534.75,160.489207469804
19165,"NoLoad_Speed_Max",875,55,0.836363636363636,555.727272727273,141.262096112084,5,20,60,"NoLoad","Speed_Max",46,565.434782608696,144.482317591525,9,506.111111111111,118.161377408657
19165,"NoLoad_Speed_Mid",960,54,0.925925925925926,577.981481481481,261.154583784635,10,20,60,"NoLoad","Speed_Mid",50,579.96,268.819563185086,4,553.25,153.964010946281
19166,"Load_Accuracy_Max",440,32,0.9375,1316.03125,801.953963941982,80,20,60,"Load","Accuracy_Max",30,1344.23333333333,821.168498116465,2,893,7.07106781186548
19166,"Load_Accuracy_Mid",540,39,0.897435897435897,948.666666666667,467.214271441484,40,20,60,"Load","Accuracy_Mid",35,967.2,486.875560862019,4,786.5,198.451505411272
19166,"Load_Neutral",610,33.5,0.955803571428571,1225.87455357143,756.593247641723,20,20,60,"Load","Neutral",64,1207.421875,787.426183079788,3,1530,470.688856889559
19166,"Load_Speed_Max",485,28,0.892857142857143,1574.57142857143,1083.68720471913,5,20,60,"Load","Speed_Max",25,1623.64,1132.38078401216,3,1165.66666666667,431.006187117231
19166,"Load_Speed_Mid",630,33,0.96969696969697,1247.06060606061,672.268684167366,10,20,60,"Load","Speed_Mid",32,1196.09375,614.847442886602,1,2878,NA
19166,"NoLoad_Accuracy_Max",600,45,0.933333333333333,795.177777777778,354.564604248448,80,20,60,"NoLoad","Accuracy_Max",42,807.52380952381,363.880055157233,3,622.333333333333,57.9770069366584
