Subject,WMC,gF,AC,SuS_AC
19001,1.6038446876395591,1.6609701347116008,1.1621384482259358,0.8309900176796464
19002,0.6815444304977358,0.8416681537527655,1.6761965788791737,1.483622769567025
19003,0.03696088518055446,1.1850021644942426,0.8836124224393628,0.9218629647590969
19004,-0.7725231863398093,-0.8251478193656882,0.43130744169691204,-0.7364046678574511
19005,-0.8696472573513461,-0.021293845698858838,0.4125482127060331,0.7271102537881001
19006,0.4401285988434073,0.6292670523283418,0.24718240357683594,0.784414580627456
19007,0.4719392327967837,0.10491888734895484,-0.27509288326320275,-0.1694620463708746
19010,-0.6236263064591095,0.2746840631949496,-0.16334854886054748,-0.5607691610593998
19011,-0.6899391345197382,-0.23474925480428968,0.07872712997321211,-0.796820038079861
19012,0.4624614168840078,-0.24011016707999552,-0.10340887741663951,-0.9761080313458361
19013,0.46487824751315726,0.19110725572556486,0.19961997166397172,0.2990224130408496
19015,-0.40795951447699924,0.22577070812106262,-0.5864185283913826,-0.8555467927254797
19016,0.9285257369758716,0.370037002896753,0.8630570181549763,0.0748423632444872
19017,-1.2470659313419807,0.41895035797063995,0.1342719633252965,-0.01188250604126003
19018,0.31916904724368433,0.5680504111815324,-0.04338705827109076,1.0290037354315833
19020,-0.3227300900073878,0.35878802450483777,0.5236929493415056,0.4733026728453047
19021,-0.43225207910596736,0.007481540580429565,-0.8389501705480039,-1.3833839398488836
19023,-0.45796208336161676,-0.4908405894881495,-0.057959523246503365,0.7525182533918672
19024,-1.1348595341772918,0.34976124364089944,-0.17410724777879108,-0.05690391056815917
19025,-1.0872620323120814,0.8331685267293308,0.044859399602661575,0.6314471434099067
19026,0.6943994326255605,0.8193079874301902,0.9230338016701296,-0.018238465498879936
19027,1.4064052899613757,-0.07405916391415243,0.6929075258573594,-0.08496086113559997
19028,0.9576519628631387,0.6233789862121324,0.6605371969645097,0.8261096891498481
19029,-0.7261263456906315,-0.8022604992026091,-0.31050367922050914,-0.02851920432483827
19030,-1.142149061481309,-0.0904829600285993,-0.19717979563851226,-0.8854323380870883
19031,1.2979230700969806,0.2571576553075764,0.006215909622840614,-0.07996305470345028
19032,0.3505225971562787,0.6715886163748924,0.6025910040600998,0.6312283858809661
19033,1.12550447456939,1.314353612289785,0.6675803237432776,-0.7403570176036592
19034,0.8797120656975445,0.2752112170354531,0.8145836725173422,-0.7018985181688203
19035,-0.6246256974615777,0.1969953218417743,-0.05011473653934059,-0.7488727470759317
19036,0.0648982134615312,0.8645554739158445,1.229469017674388,1.54499236060183
19037,-0.5223542002504467,-0.3928760888791207,0.0741521493598087,-0.5311610852122828
19038,0.7689621435761058,0.20549494886520905,-0.08465361020533506,-0.4199184664420927
19039,-1.3364433910087181,-0.4620652032088611,-1.0409908763033313,0.23823475927734647
19040,1.0356308954453017,0.5025271654400246,-0.040698324211984736,-0.31449058787217604
19041,0.2633334260982997,-0.10487065316824351,1.0224192515009134,0.7130536639516337
19043,-2.647675722246722,-0.6436065112872746,-0.8624930827073028,-0.5816482955072413
19044,1.1405477653059732,0.7586185001238844,1.3832127576318394,0.09417760911455608
19045,1.0951503156592637,-0.3007996543863012,-0.01652930438763774,0.3072913923831438
19046,0.6686503929533423,-0.1570605134511144,0.6470778786484365,0.4009147524224699
19048,0.7828165367063987,-0.07295655214122616,-0.25741824089822657,0.22444114896856016
19050,0.8051493547469991,-0.43381697077007636,-0.25575258223766983,-1.1691265787424205
19051,0.3633775992841035,0.7383427408680308,0.20255597428804117,0.27281796685870613
19052,0.1396894664324675,1.0923985761609194,0.39645311952039836,0.3703019924258307
19053,-0.21875823607898975,-0.006906152559214636,-0.8517137473147728,0.47833916197664905
19054,0.817775814854433,0.3353735505012552,0.6664711388635136,-0.49615494592541376
19055,-0.17141637949753855,-0.5456420106782458,0.20844488055665025,0.2226191663763801
19057,0.01950076381482176,0.44236483197422244,0.28838807276238637,-0.13565849825175852
