Subject,SymSpan,OSpan,RotSpan,RAPM,NumberSeries,LetterSets,Antisaccade,VAorient,Squared_Stroop,Squared_Flanker,Squared_Simon,StroopDL,SART,SACT,PVT,GradCPT_rt_cv,GradCPT_dprime,Resamples
19080,18,35,13,13,11,16,0.8472222222222222,2.8333333333333335,41,57,74,-857,2.3175077167666687,0.9047619047619048,-5.914853444736141,-0.219075545617662,2.06222291990336,0.04175824175824176
19081,24,37,10,10,5,11,0.6944444444444443,3.1833333333333336,36,19,64,-1090,0.8866812377052126,0.4523809523809523,NA,-0.206651929705025,-0.212883524599547,0.21929824561403508
19082,20,41,17,10,9,18,0.8472222222222222,3.283333333333333,44,56,67,-632.5,3.836456632380865,0.8809523809523809,-6.120611341414681,-0.151398278234337,2.1671030264721,0.1967032967032967
19083,20,42,20,15,8,15,0.9583333333333331,2.7666666666666666,52,61,75,-926.5,1.2928466709254656,0.42857142857142855,-5.852818053816689,-0.192337970167011,2.29135507848457,0.24507389162561577
19084,11,27,NA,12,8,13,0.902777777777778,2.6666666666666665,2,41,67,-707.5,NA,0.6904761904761904,-6.113682179832232,-0.264125887222891,2.03011069980263,NA
19085,20,39,12,12,14,19,0.7777777777777778,2.2333333333333334,29,48,60,NA,2.7015717398131445,0.42857142857142855,-6.125558281588681,NA,NA,NA
19088,16,36,17,11,10,17,0.875,1.7333333333333332,45,43,63,NA,1.5500268221820857,0.6666666666666666,-6.312097719699449,-0.173775081206323,2.26880295005533,0.18594619666048237
19089,21,35,20,14,10,19,0.9583333333333334,3.6833333333333336,55,68,87,-572.5,3.063106196445772,0.8333333333333333,-6.07181489976164,-0.148117619793073,1.81737556781085,0.07432432432432433
19090,18,28,13,15,10,21,0.625,2.55,40,21,71,-1124.5,2.710437150469757,0.6904761904761905,-6.056637632492068,NA,NA,0.07
19092,19,25,9,12,6,13,0.6527777777777778,1.9166666666666667,43,19,53,-1344.5,-0.18402221622281337,0.380952380952381,-6.199204353270393,NA,NA,0.27450980392156865
