target,model,r2,spearman,pearson,mae,perm_p,n
GrandMean_a,Ridge,-0.02977355169127005,0.08162078500000902,0.1342800514034838,0.27545123717534814,0.22772277227722773,188
GrandMean_a,Lasso,-0.0684038534013125,0.06461901330487062,0.12195976979918742,0.282076171077596,,188
GrandMean_a,ElasticNet,-0.060178116560595685,0.07351722120182694,0.12541717713345416,0.2803780290073283,,188
GrandMean_a,XGBoost,-0.11340828555351501,0.08547213845596938,0.09224692854568006,0.29056126205091276,,188
GrandMean_a,PCA+Ridge,0.034224090046684474,0.13422080631091893,0.18663834480012875,0.26424091040498204,,188
GrandMean_a,PLS,-0.030296085935725747,0.18713868526133856,0.23274677505246144,0.2762503127365819,,188
GrandMean_a,SparsePCA+Ridge,0.052358630360416436,0.18335870776421462,0.23506562064646627,0.26283125533772234,,188
GrandMean_a,MLP,-1.6569358091454962,-0.0014646735547861954,0.041232516578663905,0.47778731290093285,,188
GrandMean_v,Ridge,-0.09379912056838369,-0.07407889009891513,-0.010504004432182275,0.6295225113825199,,188
GrandMean_v,Lasso,-0.15927682693153655,-0.13972879995267348,-0.037988135490492916,0.6343278276886379,,188
GrandMean_v,ElasticNet,-0.16274581398595633,-0.1580403590708101,-0.05972227692122714,0.6486161174197274,,188
GrandMean_v,XGBoost,-0.0772090391469924,0.023330049403438947,0.0602513529586025,0.6377861762758946,0.009900990099009901,188
GrandMean_v,PCA+Ridge,-0.029623180217186684,-0.07369059809610497,-0.05307102794876588,0.6203104231696457,,188
GrandMean_v,PLS,-0.22949643287870947,0.06023582869640441,0.020933805323264425,0.6726897261836121,,188
GrandMean_v,SparsePCA+Ridge,-0.03109684233334753,-0.05640347692913399,-0.04023558756207824,0.6228919227158533,,188
GrandMean_v,MLP,-1.588123982043832,-0.028134013115239647,-0.020038965978983976,1.016880359827845,,188
GrandMean_t0,Ridge,-0.039486509821920146,0.08030059219045452,0.05927044029740995,0.04796459110166926,0.33663366336633666,188
GrandMean_t0,Lasso,-0.05373799778682997,0.08040534073074748,0.08156530941371788,0.04890249578102374,,188
GrandMean_t0,ElasticNet,-0.05102595764674156,0.08003872083972208,0.07944903145715988,0.048736954367580194,,188
GrandMean_t0,XGBoost,-0.0873224386322633,0.06907263227663728,0.06495984588994931,0.04937375892899898,,188
GrandMean_t0,PCA+Ridge,-0.004552254130789191,0.09816924835698303,0.04984034127306667,0.045723066730851275,,188
GrandMean_t0,PLS,-0.18412218656424306,0.0613356883694806,0.032946843858309066,0.05234092149719066,,188
GrandMean_t0,SparsePCA+Ridge,-0.023453512924928255,0.04243580088386095,-0.020595189070465023,0.046336384588112886,,188
GrandMean_t0,MLP,-0.7012987567570532,0.07520945193035304,-0.0015557461330476738,0.06319356100106746,,188
Load_a,Ridge,-0.09798721117609754,-0.012893100502612392,0.022447233370744144,0.36167849515906564,0.7722772277227723,188
Load_a,Lasso,-0.1507557311396066,-0.040301097873062824,0.009761273515092659,0.3711433020741735,,188
Load_a,ElasticNet,-0.14258427189824774,-0.03472594711643522,0.010255590633711332,0.3689939883646333,,188
Load_a,XGBoost,-0.2026391076988061,-0.025930681750456465,-0.039027849941671675,0.37968201501537074,,188
Load_a,PCA+Ridge,0.016154844107546862,0.08723747397089074,0.13301649937984034,0.3377763207123364,,188
Load_a,PLS,-0.06473362310287611,0.13808024821792028,0.19138421768353123,0.35308716225516107,,188
Load_a,SparsePCA+Ridge,0.031011181114583897,0.1293445811593496,0.17712008138341473,0.33588645284589286,,188
Load_a,MLP,-1.4344797563417848,-0.02454005457760151,-0.04822576157495493,0.5411753422052302,,188
Load_v,Ridge,-0.12371924842972581,-0.07027001645274486,-0.06983727699284219,0.6783977040537538,1.0,188
Load_v,Lasso,-0.1807547969508081,-0.07532315162708801,-0.06838882376736354,0.684886011394509,,188
Load_v,ElasticNet,-0.1754300371968298,-0.10045023812232823,-0.0776025126795791,0.6882679774848863,,188
Load_v,XGBoost,-0.22145355808863076,-0.1357026982242995,-0.15267749292370147,0.7001902975452342,,188
Load_v,PCA+Ridge,-0.04016940161622706,-0.08224747023245146,-0.0828107575923763,0.6574099133250999,,188
Load_v,PLS,-0.20744359741705543,0.03899535313803148,0.03434581896609119,0.7020876849767792,,188
Load_v,SparsePCA+Ridge,-0.045794531430848995,-0.10279805023234308,-0.1069174310748121,0.657786667800534,,188
Load_v,MLP,-1.5212745163235137,-0.1846590344712998,-0.1456150777772328,1.0660337262490536,,188
Load_t0,Ridge,-0.09012756178723591,0.05503993989600998,0.040951243865444374,0.06355130187976728,0.7326732673267327,188
Load_t0,Lasso,-0.14796647814713126,0.06130859822974966,0.04612545938802901,0.06598878614853697,,188
Load_t0,ElasticNet,-0.14261033057284678,0.06630582600545053,0.052642546347434954,0.06573289826133227,,188
Load_t0,XGBoost,-0.22348838188285525,-0.09911311197353438,-0.11751848966029799,0.06657992848492683,,188
Load_t0,PCA+Ridge,-0.024568787917943702,-0.027319502913996027,-0.06360938205937837,0.06065526389940253,,188
Load_t0,PLS,-0.24637410197051546,-0.017819893915012812,-0.024524245172528717,0.06952724447298177,,188
Load_t0,SparsePCA+Ridge,-0.03449908832768944,-0.037252554148674295,-0.08810474052495126,0.06045152602180463,,188
Load_t0,MLP,-1.2398815079268743,0.11215137247677921,0.05404037973999448,0.0965930074864012,,188
NoLoad_a,Ridge,0.011596282324320972,0.22387652675512498,0.19769739955177562,0.23625289456605347,0.04950495049504951,188
NoLoad_a,Lasso,-0.01883957845398787,0.20923882125384,0.18588085455812367,0.2417635723020619,,188
NoLoad_a,ElasticNet,-0.00541903393143528,0.2114764667956157,0.1872244047595535,0.23909760987882456,,188
NoLoad_a,XGBoost,-0.08504980737470591,0.18449403451756902,0.11124329464278009,0.2452974021674217,,188
NoLoad_a,PCA+Ridge,0.048796718402523975,0.17655005264517154,0.22223083601777216,0.23446381164052504,,188
NoLoad_a,PLS,0.007973434243014332,0.20716552255976534,0.2681298278804763,0.2466851610516259,,188
NoLoad_a,SparsePCA+Ridge,0.06363674984518275,0.20999734516630633,0.25729633316868744,0.23314106275569507,,188
NoLoad_a,MLP,-1.4566676005321142,0.11699328345135603,0.07168692604129862,0.41729805401728814,,188
NoLoad_v,Ridge,-0.06541340069898749,0.031068778252758226,7.644455264265171e-05,0.7135675010065977,,188
NoLoad_v,Lasso,-0.1033224615349253,-0.1814198284792375,-0.1295797780704363,0.7339259973334427,,188
NoLoad_v,ElasticNet,-0.12044061904222936,-0.10225194036816912,-0.0850413095676305,0.7297234358022142,,188
NoLoad_v,XGBoost,-0.04084366653435967,0.10494178328971818,0.12372983690234979,0.7127706257829057,0.009900990099009901,188
NoLoad_v,PCA+Ridge,-0.019589419073540615,-0.017626650918265433,-0.011842496015502212,0.7005566665183653,,188
NoLoad_v,PLS,-0.19522819627654275,0.11137117645252813,0.07283876872518384,0.7488521267974779,,188
NoLoad_v,SparsePCA+Ridge,-0.01928948947567144,0.006068191299730723,0.007721493473175795,0.7019290717049973,,188
NoLoad_v,MLP,-1.353589557158461,0.14347660405232368,0.1571487872566049,1.1426075433965723,,188
NoLoad_t0,Ridge,0.012062005668843745,0.1833749618480532,0.1610379882844163,0.04062928991555027,0.039603960396039604,188
NoLoad_t0,Lasso,0.0010078974666206664,0.17575198112370194,0.1626891349571356,0.040755270731064476,,188
NoLoad_t0,ElasticNet,0.011973456412223027,0.19093491684230107,0.18402580557939135,0.04089808479328076,,188
NoLoad_t0,XGBoost,0.01116142500229289,0.16213448628968025,0.2065403188162225,0.04228141042122333,,188
NoLoad_t0,PCA+Ridge,0.018015140583321987,0.18523515144291114,0.13873844263025373,0.03960321538705149,,188
NoLoad_t0,PLS,-0.1311307736263163,0.09603996337413108,0.08677362528803738,0.0450432606821625,,188
NoLoad_t0,SparsePCA+Ridge,-0.0011176754934043576,0.12354909726624368,0.07682333847944546,0.04025021346190579,,188
NoLoad_t0,MLP,-1.1440391034350141,0.10256868704928779,0.03763575536563333,0.056863009371460244,,188
Accuracy_Max_a,Ridge,-0.014298368208093493,0.12224154652189695,0.12166377525367356,0.32574247585016325,0.1188118811881188,188
Accuracy_Max_a,Lasso,-0.04329171430292633,0.1060849871863639,0.11767808843967975,0.33185211705480827,,188
Accuracy_Max_a,ElasticNet,-0.034765217504697965,0.11087813590942501,0.12197871282432565,0.3301435370153372,,188
Accuracy_Max_a,XGBoost,-0.18907548372655625,0.019640351304932028,-0.025131559466756166,0.3532617486072703,,188
Accuracy_Max_a,PCA+Ridge,-0.0006786432092826811,0.08534477620835568,0.08968466470690388,0.324167872849291,,188
Accuracy_Max_a,PLS,-0.030341445573957238,0.1814082177035869,0.21366557801648275,0.3344514154993477,,188
Accuracy_Max_a,SparsePCA+Ridge,0.020926016428167382,0.1327651628027097,0.1481090854101214,0.3216416678267697,,188
Accuracy_Max_a,MLP,-1.468859776157807,0.0537071050212477,0.07829965605125579,0.5453721471100462,,188
Accuracy_Max_v,Ridge,-0.10246135712948456,-0.03554045731767884,-0.002751779479360296,0.7636980921669426,1.0,188
Accuracy_Max_v,Lasso,-0.12767670618430516,-0.06109007110258674,-0.00979644053184542,0.7753648848008564,,188
Accuracy_Max_v,ElasticNet,-0.1197875144998175,-0.04880559573926282,-0.019732141242497135,0.7716806316015115,,188
Accuracy_Max_v,XGBoost,-0.11882028879099815,0.034550764212841804,-0.003341346567946582,0.7647947126058212,,188
Accuracy_Max_v,PCA+Ridge,-0.02551642829854761,-0.05105588334624629,-0.03245791412248938,0.7318080937716516,,188
Accuracy_Max_v,PLS,-0.162801753587416,0.15839424099749505,0.16273490328890253,0.766796340429062,,188
Accuracy_Max_v,SparsePCA+Ridge,-0.011992436141011975,0.060434489721097974,0.022359428439143975,0.7215205941894846,,188
Accuracy_Max_v,MLP,-1.0294905120944948,0.08230706853985952,0.0722847629771517,1.0804644408454083,,188
Accuracy_Max_t0,Ridge,-0.0281468187790912,0.09239182455703106,0.0962167390326998,0.062331767784339465,0.26732673267326734,188
Accuracy_Max_t0,Lasso,-0.028180441869710027,0.1098288444971799,0.13770121428124127,0.06271378609163669,,188
Accuracy_Max_t0,ElasticNet,-0.028324998623400433,0.10588993818030111,0.1322971483567203,0.06281425128402482,,188
Accuracy_Max_t0,XGBoost,-0.08187846851469849,0.08038468050530552,0.04834419370331311,0.0638092392251238,,188
Accuracy_Max_t0,PCA+Ridge,-0.008446081004653827,0.0969827002367678,0.056218148750540646,0.062139008390138264,,188
Accuracy_Max_t0,PLS,-0.1744470855397331,0.041747711334695056,0.052693627118070886,0.0683145445787098,,188
Accuracy_Max_t0,SparsePCA+Ridge,-0.011268762401059895,0.08530323799410157,0.0491191009435115,0.06254326929057437,,188
Accuracy_Max_t0,MLP,-1.0800036208725339,0.05313460006826714,0.06384618883675286,0.08947156710989425,,188
