target,model,r2,spearman,perm_p,n
GrandMean_a,Ridge,0.05652866931978384,0.21104302455992066,0.004975124378109453,188
GrandMean_a,Lasso,0.0426252427038476,0.14184938965915184,,188
GrandMean_a,ElasticNet,0.038288254403570754,0.14796634321039828,,188
GrandMean_a,XGBoost,-0.006119183333584299,0.11619322132463557,0.05970149253731343,188
GrandMean_a,PCA(3)+Ridge,0.060101864545084704,0.2183230481102821,,188
GrandMean_a,PCA(3)+Lasso,0.05891099203672234,0.2109834262525126,,188
GrandMean_a,PCA(3)+XGBoost,0.009860297700913456,0.15671934261682224,,188
GrandMean_a,PCA(5)+Ridge,0.0658766158801306,0.24288838681829916,,188
GrandMean_a,PCA(5)+Lasso,0.038348262038068626,0.20361671425501213,,188
GrandMean_a,PCA(5)+XGBoost,0.023154422519544027,0.25996824106330907,,188
GrandMean_a,PCA(7)+Ridge,0.05516784983056322,0.20890651553980713,,188
GrandMean_a,PCA(7)+Lasso,0.023857070480230003,0.16667479370858593,,188
GrandMean_a,PCA(7)+XGBoost,0.004641600913238508,0.27152549612229815,,188
GrandMean_a,PCA(10)+Ridge,0.04731051529176988,0.18270493239204125,,188
GrandMean_a,PCA(10)+Lasso,0.00642437222622072,0.12787629558593264,,188
GrandMean_a,PCA(10)+XGBoost,-0.00612095939764834,0.2367533731738988,,188
GrandMean_v,Ridge,-0.03074639797863221,-0.009656731809422671,,188
GrandMean_v,Lasso,-0.024856473113960886,-0.21998709573196346,0.8706467661691543,188
GrandMean_v,ElasticNet,-0.030581071666401005,-0.20267688144090737,,188
GrandMean_v,XGBoost,0.004462183134014142,0.16333006445647244,0.03980099502487562,188
GrandMean_v,PCA(3)+Ridge,-0.018555081348134328,-0.029938216421320298,,188
GrandMean_v,PCA(3)+Lasso,-0.029706036438625016,0.02261846066602011,,188
GrandMean_v,PCA(3)+XGBoost,-0.03854236129977173,0.12635038885702335,,188
GrandMean_v,PCA(5)+Ridge,-0.01655628446259283,-0.03827836743981925,,188
GrandMean_v,PCA(5)+Lasso,-0.04723661193547124,-0.11184215275197229,,188
GrandMean_v,PCA(5)+XGBoost,0.04416267840214416,0.2616347635121102,,188
GrandMean_v,PCA(7)+Ridge,-0.015555482149194777,-0.028516887090103606,,188
GrandMean_v,PCA(7)+Lasso,-0.05034612206705069,-0.21717958441249238,,188
GrandMean_v,PCA(7)+XGBoost,0.014821600278439706,0.1901908410043579,,188
GrandMean_v,PCA(10)+Ridge,-0.01581720605657,-0.020406099254659953,,188
GrandMean_v,PCA(10)+Lasso,-0.04010351211831353,-0.1927425874716478,,188
GrandMean_v,PCA(10)+XGBoost,-0.05878074289828028,0.12392655321316146,,188
