Top_N,Scenario,Target,Model,N,R2_CV,MAE_CV,Perm_p,N_Features,Features_Used
8,PairedMean,Accuracy_Max_a,Ridge,184,0.024,0.3224,0.0348,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,Lasso,184,0.0005,0.3315,0.0348,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,ElasticNet,184,0.0036,0.331,0.0398,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,XGBoost,184,-0.0687,0.3367,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,SVR,184,0.0019,0.3272,0.0448,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_v,Ridge,184,0.0117,0.7263,0.0498,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Max_v,Lasso,184,0.0058,0.7277,0.0746,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Max_v,ElasticNet,184,0.0029,0.7286,0.0697,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Max_v,XGBoost,184,0.0048,0.7187,0.0348,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Max_v,SVR,184,0.0139,0.7116,0.0448,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Mid_a,Ridge,184,0.0137,0.3419,0.0448,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Mid_a,Lasso,184,-0.0101,0.3469,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Mid_a,ElasticNet,184,-0.0101,0.3469,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Mid_a,XGBoost,184,-0.0745,0.3643,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Mid_a,SVR,184,-0.0086,0.3403,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Mid_v,Ridge,184,-0.0009,0.8157,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Mid_v,Lasso,184,-0.0065,0.8176,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Mid_v,ElasticNet,184,-0.0065,0.8176,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Mid_v,XGBoost,184,-0.1056,0.8617,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Mid_v,SVR,184,-0.0078,0.816,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Neutral_a,Ridge,184,0.0319,0.2958,0.01,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Neutral_a,Lasso,184,0.0256,0.2978,0.0299,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Neutral_a,ElasticNet,184,0.0252,0.2981,0.0249,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Neutral_a,XGBoost,184,-0.0666,0.3069,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Neutral_a,SVR,184,-0.0301,0.3011,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Neutral_v,Ridge,184,-0.0147,0.6955,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Neutral_v,Lasso,184,-0.0182,0.6894,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
